xhat1 xhat2 xhat3 xhat4 yhat1 yhat2 time
-2.89136 -16.4152 -0.47364 4.47226 -315.871 -69.6436 3.63
-2.86724 -16.8182 -0.436376 4.49711 -317.286 -65.013 3.64
-2.84278 -17.2202 -0.40334 4.51977 -318.67 -60.3666 3.65
-2.818 -17.6215 -0.374054 4.5404 -320.028 -55.7056 3.66
-2.79295 -18.0221 -0.348056 4.55915 -321.362 -51.0312 3.67
-2.76765 -18.4221 -0.324977 4.57618 -322.676 -46.3445 3.68
-2.74213 -18.8217 -0.304474 4.59162 -323.972 -41.6464 3.69
-2.71642 -19.2209 -0.286258 4.60562 -325.251 -36.9379 3.7
-2.69052 -19.6197 -0.27005 4.61829 -326.516 -32.22 3.71
-2.66446 -20.0183 -0.255636 4.62975 -327.768 -27.4934 3.72
-2.63826 -20.4167 -0.242806 4.64012 -329.009 -22.759 3.73
-2.61193 -20.8148 -0.231376 4.64948 -330.24 -18.0174 3.74
